name,information,address,price,owner,complex_name,house_type,in_pledge,construction_year,ceiling_height,furniture_info,bathroom_info,condition,area,room_count,floor,floor_count,district
"4-комнатная квартира, 140 м², 19/29 этаж","жил. комплекс Хайвил Астана, монолитный дом, 2016 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, меблирована полностью, Продам полностью с мебелью Торг есть", Қошқарбаев 10/1,100000000,Хозяин недвижимости,хайвил астана,монолитный дом,False,2016,3.0,,2,хорошее,140.0,4,19.0,29.0,Алматы р-н
"1-комнатная квартира, 40.6 м², 11/12 этаж","панельный дом, 2021 г.п., состояние: хорошее, санузел совмещенный, интернет ADSL, меблирована частично, Срочно продается 1 комнатная квартира улученная встроенная кухня новая сантехника тихий двор. Натяжной потолки пластиковые окна. Металический дверь новый район перспективный траспортная ра…", А 105 5 — Метро,14800000,Хозяин недвижимости,,панельный дом,False,2021,,,совмещенный,хорошее,40.6,1,11.0,12.0,Алматы р-н
"2-комнатная квартира, 63 м²","жил. комплекс Delta, 12 этажей, 2024 г.п., потолки 3м., санузел совмещенный, ЖК Delta – элегантный проект с актуальной концепцией доступного современного жилья. Комплекс состоит из 6 кварталов, выстроенных в линейном ритме, и органично включе…", Молдагалиева,21420000,Новостройка,delta,,False,2024,3.0,,совмещенный,,63.0,2,,,Нура р-н
"1-комнатная квартира, 39.21 м²","жил. комплекс Sardar city, 16 этажей, 2023 г.п., потолки 3м., санузел совмещенный, Виды оплаты:100 % оплатаРассрочка с первоначальным взносом 30 процентовИпотека после ввода в эксплуатацию…", Жумекен Нажимеденов 54,13527450,Новостройка,sardar city,,False,2023,3.0,,совмещенный,,39.21,1,,,Алматы р-н
"2-комнатная квартира, 65.1 м²","жил. комплекс Respublika, 22 этажа, 2023 г.п., потолки 3м., санузел 2 с/у и более, Преимущества:💥Озелененная территория", Е-36 5,28700000,Новостройка,respublika,,False,2023,3.0,,2,,65.1,2,,,Нура р-н
"2-комнатная квартира, 42.3 м², 4/5 этаж","кирпичный дом, 2000 г.п., состояние: среднее, потолки 2.8м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Продаётся квартира в очень хорошем доме, локация супер - район Евразии, кирпичный теплый дом, чистый подъезд, закрытая территория с п…", Сатпаева 17 — Напротив ТЦ Евразии,19980000,Хозяин недвижимости,,кирпичный дом,False,2000,2.8,,совмещенный,среднее,42.3,2,4.0,5.0,Алматы р-н
"2-комнатная квартира, 100.8 м², 6/13 этаж","жил. комплекс Теремок, монолитный дом, 2013 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, интернет проводной, меблирована полностью, Продается светлая, теплая, уютная, просторная квартира. Зал 30, 7 кв., спальня 24 кв. Окна выходят на обе стороны, два балкона, два сан. узла. Ти…", Сатпаева 20/1,41200000,Хозяин недвижимости,теремок,монолитный дом,False,2013,3.0,,2,хорошее,100.8,2,6.0,13.0,Алматы р-н
"1-комнатная квартира, 40 м², 4/25 этаж","монолитный дом, 2010 г.п., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, меблирована полностью, Уютная,тёплая, светлая,просторная квартира. Рядом супермаркеты,аптеки,школы и дошкольные учреждения,остановки общественного транспорта. Квартира не в залоге,документы…", Абая 92/2 — Янушкевича Абая Кенесары,18000000,Хозяин недвижимости,,монолитный дом,False,2010,,,совмещенный,,40.0,1,4.0,25.0,Байконур р-н
"3-комнатная квартира, 118 м², 2/4 этаж","жил. комплекс Альбион, кирпичный дом, 2008 г.п., состояние: хорошее, потолки 3м., санузел 2 с/у и более, телефон: отдельный, интернет проводной, меблирована полностью, Квартира большая и уютная! Дом полностью кирпичный! КазМунайГаз строил для своих сотрудников, шумоизолияция отличная! Соседи хороши…", Коргалжынское шоссе 6,60000000,Хозяин недвижимости,альбион,кирпичный дом,False,2008,3.0,,2,хорошее,118.0,3,2.0,4.0,Есильский р-н
"1-комнатная квартира, 39.88 м²","жил. комплекс Tasty, 12 этажей, 2025 г.п., потолки 2.7м., санузел совмещенный, Жилой комплекс Tasty в Астане – это удачное сочетание комфорта высокого уровня и стильного оформления. Здесь есть все для проживания одному или семьей.Преимуществ…", М. Тынышбайулы 5,11166400,Новостройка,tasty,,False,2025,2.7,,совмещенный,,39.88,1,,,Алматы р-н
"2-комнатная квартира, 39 м², 22/36 этаж","жил. комплекс Триумф Астаны, монолитный дом, 2009 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, меблирована полностью, 🔱 Продается двухкомнатная кухня-студия в жилом комплексе ТРИУМФ АСТАНЫ 🔱 Про сам ЖК : 🔰 премиум класса 🔰 Застройщик: BAZIS-A 🔰 Стадия строительства: Постро…", Кабанбай батыра — Горячая цена,19000000,Риелтор,триумф астаны,монолитный дом,False,2009,2.7,,совмещенный,хорошее,39.0,2,22.0,36.0,Есильский р-н
"3-комнатная квартира, 81.5 м²","жил. комплекс Burabay 2, 17 этажей, 2024 г.п., потолки 2.7м., санузел 2 с/у и более, ⚡Акция⚡РОЗЫГРЫШ среди покупателей в период с 19 декабря по 29 февраля в ЖК BURABAY-2, разыгрывается путевка в Тайланд на двоих и денежные при…",,26080000,Новостройка,burabay 2,,False,2024,2.7,,2,,81.5,3,,,Алматы р-н
"3-комнатная квартира, 84.9 м²","жил. комплекс Sat City, 18 этажей, 2021 г.п., потолки 3м., санузел совмещенный, Дом полностью сдан в эксплуатацию, в продаже только готовые квартиры.Блоки А, В, С, Е без ДОПОЛНИТЕЛЬНОГО залога и без подтверждения до…", E-10 (район ТРЦ Хан-Шатыр),35338096,Новостройка,sat city,,False,2021,3.0,,совмещенный,,84.9,3,,,Есильский р-н
"4-комнатная квартира, 161.2 м², 3/6 этаж","жил. комплекс Триумфальный, кирпичный дом, 2013 г.п., состояние: хорошее, жил. площадь 105.5 м², кухня 24 м², санузел 2 с/у и более, телефон: есть возможность подключения, интернет ADSL, без мебели, Продаеться 4-х комнатная квартира, общей площадью, 161, 2 кв. м, жилая 105, 5 кв. м, расположенная п…",Р-н Есиль пр.Кабанбай Батыра 13,116200000,Риелтор,триумфальный,кирпичный дом,False,2013,,без мебели,2,хорошее,161.2,4,3.0,6.0,
"3-комнатная квартира, 80 м², 6/6 этаж","кирпичный дом, 2014 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, телефон: отдельный, интернет ADSL, меблирована полностью, ✅ Продается полноценная 3-х квартира в новом тихом (спальном районе) с отличной локацией между мечетью Хазрет Султан и Нурлыжол вокзал. Отличная транспор…", Хиуаз Доспановой 1/1,27999999,Хозяин недвижимости,,кирпичный дом,False,2014,2.7,,раздельный,хорошее,80.0,3,6.0,6.0,Алматы р-н
"3-комнатная квартира, 69 м², 8/9 этаж","панельный дом, 1993 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, телефон: нет, меблирована полностью, Квартира очень теплая, светлая. Распашонка. Продаем в связи с переездом. Мебель и техника остается. Просьба: риэлторам не беспокоить", Жирентаева 14 — Жирентаева и Петрова,26000000,Хозяин недвижимости,,панельный дом,False,1993,2.7,,раздельный,хорошее,69.0,3,8.0,9.0,Алматы р-н
"2-комнатная квартира, 61.2 м², 12/22 этаж","жил. комплекс Москва, монолитный дом, 2008 г.п., потолки 2.8м., санузел раздельный, телефон: есть возможность подключения, интернет проводной, меблирована полностью, Продается уютная, теплая с хорошей аурой 2-х комнатная квартира с отличной локацией, удобная транспортная развязка в золотом квадрате…", Ш. Валиханова 5 — Деловой до Алма Ата,28500000,Хозяин недвижимости,москва,монолитный дом,False,2008,2.8,,раздельный,,61.2,2,12.0,22.0,Байконур р-н
"2-комнатная квартира, 75 м², 27/29 этаж","жил. комплекс Хайвил Астана, монолитный дом, 2016 г.п., потолки 3м., санузел 2 с/у и более, меблирована полностью, Продаём уютную, очень теплую квартиру в ЖК ""Highvill Astana"" Пасположение: напротив мечети Хазірет Султан, Американского Посольства и многих других посольств. Продается…", Байтурсынова 1 — Тауелсіздік,41700000,Хозяин недвижимости,хайвил астана,монолитный дом,False,2016,3.0,,2,,75.0,2,27.0,29.0,Алматы р-н
"2-комнатная квартира, 58 м², 3 этаж","жил. комплекс Esil Plaza, монолитный дом, 2020 г.п., состояние: хорошее, потолки 2.73м., санузел совмещенный, интернет проводной, меблирована полностью, Продам 2-комнатную квартиру 58 кв. м. в ЖК «Esil Plaza». Квартира полностью мебелирована, не в залоге, можно в ипотеку, неугловая, солнечная с…", Кабанбай Батыра 49,37000000,Хозяин недвижимости,esil plaza,монолитный дом,False,2020,2.73,полностью мебели,совмещенный,хорошее,58.0,2,,,Есильский р-н
"1-комнатная квартира, 41 м², 4/10 этаж","жил. комплекс Алтын Ұя, монолитный дом, 2018 г.п., состояние: хорошее, потолки 2.8м., санузел совмещенный, телефон: отдельный, интернет оптика, меблирована полностью, 🔥🔥🔥ЛОКАЦИЯ ТОП🔥🔥🔥 🔥🔥🔥ВСЕ РЯДОМ🔥🔥🔥 🔥🔥🔥ШКОЛА🔥🔥🔥САДИК🔥🔥🔥ПОЛИКЛИНИКА🔥🔥🔥МАГНУМ🔥🔥🔥МАГАЗИНЫ 24 Ч🔥🔥🔥ПАрк🔥🔥🔥ВНИЗУ ПАркИНГ С ЛИФТА ПРЯМ🔥🔥…", Кордай 85,19200000,Риелтор,алтын уя,монолитный дом,False,2018,2.8,,совмещенный,хорошее,41.0,1,4.0,10.0,Алматы р-н
"2-комнатная квартира, 65 м², 6/7 этаж","жил. комплекс Expo Plaza, кирпичный дом, 2017 г.п., потолки 2.7м., 🔥СУПЕР ГОРЯЩИЙ ВАРИАНТ . 🔷️2-х комнатная квартира . 🔷️Жк Expo Plaza. 🔷️Рядом Expo,Мега-Силквей. 🔷️Назарбаев Университет. 🔷️Развитая инфраструктура. 🔷️Все необходимые для комфортной жизни жизни в шаговой доступности. 🔷️Ботанический п…", Улы Дала 6 — Сауран,37500000,Риелтор,expo plaza,кирпичный дом,False,2017,2.7,,,,65.0,2,6.0,7.0,Есильский р-н
"2-комнатная квартира, 57.6 м², 12/12 этаж","жил. комплекс Рио-Де-Жанейро, кирпичный дом, 2024 г.п., состояние: черновая отделка, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, Жк Рио Де Жанейро 2. 2х комнатная квартира, документы на руках! ключи на руках! Большой санузел, выход окон во двор, удо…", Бейбарыс Султан 25/3,23000000,Хозяин недвижимости,рио де жанейро,кирпичный дом,False,2024,2.7,,совмещенный,черновая отделка,57.6,2,12.0,12.0,Сарыарка р-н
"3-комнатная квартира, 75 м², 4/4 этаж","2019 г.п., потолки 2.7м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет через TV кабель, меблирована полностью, 🔥Эксклюзивное предложение. 🔷️3 комнатная квартира. 🔷️Жк Кемель. 🔷️Дом кирпичный. 🔷️Квартира распашонка. 🔷️Квартира с мебелью и техникой. 🔷️тёплая светлая квартира…", Е 496 10/1,31000000,Риелтор,,,False,2019,2.7,,2,,75.0,3,4.0,4.0,Есильский р-н
"3-комнатная квартира, 133 м², 3/26 этаж","жил. комплекс На Водно-зеленом бульваре, монолитный дом, 2010 г.п., потолки 3.1м., санузел 2 с/у и более, телефон: есть возможность подключения, интернет через TV кабель, меблирована полностью, 🔥ОТЛИЧНОЕ ПРЕДЛОЖЕНИЕ 🔥 🔥СНИЖЕНИЕ ЦЕНЫ ДО КОНЦА ГОДА 🔥 🔥ВНИМАНИЕ СНИЖЕНИЕ ЦЕНЫ 🔥 🔷️НА Водно-ЗЕЛЕНОМ БУЛЬ…", Динмухаммед Кунаев 12,53900000,Риелтор,на водно зеленом бульваре,монолитный дом,False,2010,3.1,,2,,133.0,3,3.0,26.0,Есильский р-н
"2-комнатная квартира, 54 м², 2/17 этаж","жил. комплекс Арман кала, кирпичный дом, 2016 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет ADSL, меблирована частично, Вашему вниманию светлая, уютная, теплая 2х комнатная квартира. Квартира не угловая в хорошем состоянии с хо…", Улы дала 45 — Пересечение улиц Улы дала и Туркистан,27500000,Хозяин недвижимости,арман кала,кирпичный дом,False,2016,2.7,,совмещенный,хорошее,54.0,2,2.0,17.0,Есильский р-н
"2-комнатная квартира, 55 м², 10/17 этаж","жил. комплекс Жети Жол, кирпичный дом, 2014 г.п., состояние: хорошее, санузел совмещенный, интернет проводной, меблирована полностью, Продам квартиру в хорошем состоянии, есть гардероб, чистый этаж, лифт работает исправно, хорошие соседи. В шаговой доступности Магнум, Fix price, медицинский цент…", Тлендиева 50,24000000,Хозяин недвижимости,жети жол,кирпичный дом,False,2014,,,совмещенный,хорошее,55.0,2,10.0,17.0,Сарыарка р-н
"3-комнатная квартира, 66 м², 6/6 этаж","панельный дом, 1992 г.п., состояние: среднее, потолки 2.7м., санузел раздельный, меблирована частично, Теплая, хорошая инфраструктура рядом школы, банки поликлиника", Рыскулбекова 4/1,23000000,Хозяин недвижимости,,панельный дом,False,1992,2.7,,раздельный,среднее,66.0,3,6.0,6.0,Алматы р-н
"2-комнатная квартира, 56.1 м², 14/17 этаж","жил. комплекс Бухар Жырау, монолитный дом, 2023 г.п., состояние: хорошее, потолки 3м., санузел совмещенный, интернет ADSL, меблирована частично, Дом находится между Алау и Астана Арена. Рядом находится школа и садик Алпамыс. Через дорогу Ботанический сад", Туран 50/5,35500000,Хозяин недвижимости,buqar jyray,монолитный дом,False,2023,3.0,,совмещенный,хорошее,56.1,2,14.0,17.0,Есильский р-н
"1-комнатная квартира, 39 м², 3/12 этаж","2023 г.п., состояние: хорошее, потолки 3м., санузел совмещенный, меблирована частично, Абсолютно новая 1-комнатная квартира с шикарным ремонтом из качественных материалов, мебель до потолка, все фасады МДФ, ламинат 33 класса, широкоформатный керамогранит, тропический душ, качественые системы освеще…", Абикена Бектурова 9,25800000,Хозяин недвижимости,,,False,2023,3.0,,совмещенный,хорошее,39.0,1,3.0,12.0,Есильский р-н
"1-комнатная квартира, 42 м², 3/20 этаж","жил. комплекс Syganak, монолитный дом, 2023 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, интернет проводной, меблирована частично, Срочно продам новую квартиру в центре левого берега с новым ремонтом. С отличной локации рядом находится школа бином и строится комфортная шк…", Сыганак 32 — Сыганак/Толе би,22000000,Хозяин недвижимости,syganak,монолитный дом,False,2023,2.7,,совмещенный,хорошее,42.0,1,3.0,20.0,Есильский р-н
"1-комнатная квартира, 39 м², 17/22 этаж","жил. комплекс Sezim Qala, монолитный дом, 2021 г.п., потолки 2.7м", Е-22 2 — E-51,20500000,Хозяин недвижимости,sezim qala,монолитный дом,False,2021,2.7,,,,39.0,1,17.0,22.0,Есильский р-н
"3-комнатная квартира, 90.5 м², 3/6 этаж","В залоге, кирпичный дом, 2014 г.п., состояние: среднее, потолки 2.5м., санузел раздельный, интернет ADSL, меблирована частично, Квартира в залоге Отбасы банке(9,6 млн),можете так же оформиться 50/50, проконсультируйтесь в банке. Продается полноценная 3 комн. кВ.не угловая,распашонка. Кажд…", Жургенова 28 — Кошкарбаева-Жумабаева,36000000,Хозяин недвижимости,,кирпичный дом,True,2014,2.5,,раздельный,среднее,90.5,3,3.0,6.0,Алматы р-н
"2-комнатная квартира, 64.7 м², 13/17 этаж","жил. комплекс Нур Отау, кирпичный дом, 2009 г.п., состояние: хорошее, потолки 2.7м., санузел раздельный, меблирована частично, Продается уютная 2-х комнатная квартира, в развитом районе, рядом Рахмет, Дворец школьников, детсады и школы, Магнум, Цон, Евразия, до Левого берега пару остановок…", Сатпаева 25 — Момышұлы-Сатпаева,28500000,Хозяин недвижимости,нур отау,кирпичный дом,False,2009,2.7,,раздельный,хорошее,64.7,2,13.0,17.0,Алматы р-н
"3-комнатная квартира, 150 м², 2/9 этаж","жил. комплекс Central Park, 2019 г.п., потолки 3м., Эксклюзивная продажа 3х-комнатной квартиры в ЖК Central Park! застройщик SENSATA GROUP, дом Премиум-класса. -Дизайнерский ремонт -Удобное месторасположения дома -Развитая инфраструктура -Безопасность дома на высшем уровне -Закрытый безопасный д…", Туран 5,128000000,Риелтор,central park,,False,2019,3.0,,,,150.0,3,2.0,9.0,Есильский р-н
"2-комнатная квартира, 60 м², 9/12 этаж","монолитный дом, 2004 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, интернет проводной, меблирована полностью, Продается светлая, теплая квартира, комнаты изолированы, улучшенная планировка, просторная кухня, 2 лифта. Соседи дружные. отличное расположение дома, в шаговой доступ…", Алия Молдагулова 27А — Женис,29000000,Хозяин недвижимости,,монолитный дом,False,2004,2.7,,совмещенный,хорошее,60.0,2,9.0,12.0,Сарыарка р-н
"2-комнатная квартира, 76.6 м², 8/9 этаж","жил. комплекс По Янушкевича, 2005 г.п., 2-ком. на Набережной ✓окна Север-Юг, Кирпич, Газ, 76.6/44/15, 8/9эт., 2 с/у, лоджия, на площадке 3 квартиры, все больших квадратур, 1-ком. квартир нет. ✓в пешей доступности: детский садик, гимназия, ЕНУ, МГУ, Университет по финансам и международной торго…", Янушкевича1 1 — Иманова,28500000,Хозяин недвижимости,по янушкевича,,False,2005,,,,,76.6,2,8.0,9.0,Байконур р-н
"2-комнатная квартира, 72.7 м², 2/17 этаж","жил. комплекс Zauzar, монолитный дом, 2023 г.п., потолки 3м., санузел 2 с/у и более", Ш.Калдаякова 44 — А78,25999999,Риелтор,zauzar,монолитный дом,False,2023,3.0,,2,,72.7,2,2.0,17.0,Алматы р-н
"3-комнатная квартира, 65.3 м², 11/16 этаж","жил. комплекс Памир, монолитный дом, 2019 г.п., потолки 2.7м., санузел совмещенный, интернет оптика, Продаётся евро 3-ка квартира переделанная из 2-х комнатной, 2-е полноценные спальни, гардеробная комната, совмещеный санузел, кухня зал студия, вся мебель полностью остаётся ремонт очень хоро…", Айтматова 38 — G Park,32500000,Хозяин недвижимости,памир,монолитный дом,False,2019,2.7,,совмещенный,,65.3,3,11.0,16.0,Есильский р-н
"2-комнатная квартира, 41.2 м², 5/5 этаж","кирпичный дом, 1971 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, меблирована полностью, 2-х комнатная квартира перепланированая и узаконенная в 3-х комнатную. Светлая и уютная. Кровля не протекает, был сделан качественный ремон. Неугловая. Балкон остеклен, со встроенными шкафами…", Tayелсиздик 16,19000000,Хозяин недвижимости,,кирпичный дом,False,1971,2.7,,совмещенный,хорошее,41.2,2,5.0,5.0,Алматы р-н
"2-комнатная квартира, 59.4 м², 3/8 этаж","жил. комплекс Adal, кирпичный дом, 2020 г.п., состояние: хорошее, жил. площадь 57.9 м², кухня 10.8 м², потолки 2.7м., санузел совмещенный, телефон: есть возможность подключения, интернет оптика, меблирована полностью, Кирпичный дом от BI Group. КВАРТИРА продается С МЕСТОМ КРЫТОГО ПАРКИНГА…", Бухар Жырау 36/1,39000000,Хозяин недвижимости,adal,кирпичный дом,False,2020,2.7,,совмещенный,хорошее,59.4,2,3.0,8.0,Есильский р-н
"2-комнатная квартира, 69.48 м²","жил. комплекс New Line, 17 этажей, 2023 г.п., потолки 2.75м., санузел совмещенный, New Line - это жилой комплекс комфорт-класса переменной этажности с паркингом, собственной инфраструктурой, продуманным современным двором в тихом и экологически чистом районе левог…", Е117,25012800,Новостройка,new line,,False,2023,2.75,,совмещенный,,69.48,2,,,Есильский р-н
"2-комнатная квартира, 80 м², 9/12 этаж","жил. комплекс Запад по ул. Сарыарка, кирпичный дом, 2010 г.п., состояние: хорошее, потолки 2.8м., санузел 2 с/у и более, телефон: отдельный, интернет оптика, меблирована полностью, Продам 2 ком 80 кв, рядом 60 лицей, ТД СМОЛЛ, АЯН. Продается полностью с мебелью", Сарыарка 31/2 — А. Жангельдина,33000000,Хозяин недвижимости,запад по ул. сарыарка,кирпичный дом,False,2010,2.8,,2,хорошее,80.0,2,9.0,12.0,Сарыарка р-н
"1-комнатная квартира, 28 м², 3/12 этаж","кирпичный дом, 2023 г.п., состояние: хорошее, потолки 3м., телефон: отдельный, интернет ADSL, меблирована частично, Неугловая, пластиковые окна, тихий двор, счётчики. Объявление: Дом сдан, есть ВСЕ разрешительные документы. МОЖНО В ИПОТЕКУ! Центральное отопление. Квартира с системой умный до…", Ч.Айтматова 161 — Бейсековой,15900000,Хозяин недвижимости,,кирпичный дом,False,2023,3.0,,,хорошее,28.0,1,3.0,12.0,Есильский р-н
"4-комнатная квартира, 202 м², 3/7 этаж","жил. комплекс Французский Квартал, монолитный дом, 2017 г.п., потолки 3м., санузел 2 с/у и более, Жк Французский квартал ✅ клубный дом; ✅две квартиры на площадке; ✅Парк в шаговой доступности; ✅паркинг в цене; Услуги отдела 1%", Калдаякова 2,85000000,Риелтор,французский квартал,монолитный дом,False,2017,3.0,,2,,202.0,4,3.0,7.0,Алматы р-н
"1-комнатная квартира, 45.8 м², 7/20 этаж","В залоге, жил. комплекс ViewPark Family, монолитный дом, 2022 г.п., состояние: черновая отделка, потолки 2.86м",Байтурсынова 13/1,19500000,Хозяин недвижимости,viewpark family,монолитный дом,True,2022,2.86,,,черновая отделка,45.8,1,7.0,20.0,
"2-комнатная квартира, 60 м², 19/24 этаж","жил. комплекс Самрук Towers, монолитный дом, 2018 г.п., состояние: хорошее, потолки 2.7м., интернет ADSL, меблирована полностью, Продам 2х комнатную квартиру с очень красивым панорамным видом, отличная локация в шаговой доступности школа #79, QSI, 3-ГОС садика, Университеты, ХанШатыр, Сарыар…", Кайыма Мухамедханова 15,27500000,Хозяин недвижимости,самрук towers,монолитный дом,False,2018,2.7,,,хорошее,60.0,2,19.0,24.0,Есильский р-н
"1-комнатная квартира, 37 м², 8/14 этаж","жил. комплекс Кулан, монолитный дом, 2011 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, интернет оптика, меблирована частично, Продается уютная и теплая квартира. Частично мебелирована: печь и стиральная машина имеются. Ламинат в хорошем состоянии. Имеется большая кладовка. Квартира…", Кордай 77,16000000,Хозяин недвижимости,кулан,монолитный дом,False,2011,2.7,Частично мебели,совмещенный,хорошее,37.0,1,8.0,14.0,Есильский р-н
"1-комнатная квартира, 41 м², 5/12 этаж","жил. комплекс ZAMAN, кирпичный дом, 2023 г.п., состояние: хорошее, потолки 3м., санузел раздельный, интернет оптика, меблирована полностью, Продается квартира Евродвушка в топовой локации столицы . Ремонт выполнен из дорогих, качественных материалов, ламинат 33 класса, двери 2,2м, мебель выполне…", Бухар Жырау 27 — Мангилик ел,27000000,Хозяин недвижимости,zaman,кирпичный дом,False,2023,3.0,,раздельный,хорошее,41.0,1,5.0,12.0,Есильский р-н
"3-комнатная квартира, 74.92 м²","жил. комплекс Амирель, 9 этажей, 2023 г.п., потолки 2.7м., санузел 2 с/у и более, ЖК «Амирель» в Астане – стильная новостройка с просторными квартирами Smart планировки, которая сочетает в себе безопасность, качество, комфорт и уют.…", А102,18730000,Новостройка,амирель,,False,2023,2.7,,2,,74.92,3,,,Алматы р-н
"1-комнатная квартира, 47.2 м², 14/24 этаж","жил. комплекс Esil Tower, монолитный дом, 2022 г.п., состояние: хорошее, потолки 2.9м., санузел совмещенный, телефон: отдельный, интернет проводной, меблирована полностью, Качественный дизайнерский ремонт, делался под себя. Использовались дорогие материалы. Все в шаговой доступности, красивый вид…", Е 882 5,31000000,Хозяин недвижимости,esil tower,монолитный дом,False,2022,2.9,,совмещенный,хорошее,47.2,1,14.0,24.0,Сарыарка р-н
"2-комнатная квартира, 57 м²","кирпичный дом, 2003 г.п., состояние: среднее, потолки 2.7м., санузел раздельный, телефон: отдельный, интернет через TV кабель, меблирована полностью, Дом теплый кирпичный, соседи военные тихо и мирно. Детская площадка и подъезд один на весь дом. Порядок и чистота присутствует. Рядом смол и…", манаса 13/1 — ТЦ Азия Сити,23000000,Хозяин недвижимости,,кирпичный дом,False,2003,2.7,,раздельный,среднее,57.0,2,,,Алматы р-н
"4-комнатная квартира, 122 м², 1/10 этаж","жил. комплекс Аврора, кирпичный дом, 2004 г.п., состояние: хорошее, потолки 2.8м., санузел 2 с/у и более, меблирована полностью", Абылай хана 6/1,65000000,Хозяин недвижимости,аврора,кирпичный дом,False,2004,2.8,,2,хорошее,122.0,4,1.0,10.0,Байконур р-н
"3-комнатная квартира, 61 м², 7/9 этаж","кирпичный дом, 2017 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, телефон: отдельный, интернет проводной, меблирована полностью, Продам 3 комнатную квартиру переделанная из 2 комнатной кухня ниша евроремонт дом кирпичный с парковкой проблем нет, рядом школы и садики. Перепланиров…", Чингиз айтматова 31 а,28500000,Хозяин недвижимости,,кирпичный дом,False,2017,2.7,,совмещенный,хорошее,61.0,3,7.0,9.0,Нура р-н
"4-комнатная квартира, 138 м², 21/22 этаж","жил. комплекс Highvill Park, монолитный дом, 2019 г.п., состояние: хорошее, потолки 2.8м., санузел 2 с/у и более, интернет ADSL, меблирована полностью, Квартира очень теплая зимой. Умный дом. шумоизоляция 99,9%, соседей не слышим. Делали все для себя. Заходи и живи. Шкафов много. Есть прачечная…", Кабанбай батыра 43A,96000000,Хозяин недвижимости,highvill park,монолитный дом,False,2019,2.8,,2,хорошее,138.0,4,21.0,22.0,Есильский р-н
"2-комнатная квартира, 60 м², 7/12 этаж","жил. комплекс Сармат-2, 2012 г.п., состояние: хорошее, потолки 2.7м., санузел совмещенный, меблирована полностью, ✅ Квартира после капитального ремонта, никто не проживал. ✅ Бытовая техника, мебелирован ✅ Левый берег столицы. Пересечение улицы Сыганак и Сауран. ✅Застройщик Bi Group ✅ Рядом ТРЦ Абу…", Сауран 3/1 — пересечение Сыганак,33500000,Хозяин недвижимости,сармат,,False,2012,2.7,,совмещенный,хорошее,60.0,2,7.0,12.0,Есильский р-н
"3-комнатная квартира, 95 м², 3/8 этаж","жил. комплекс Триумфальный, монолитный дом, 2016 г.п., потолки 3м., санузел 2 с/у и более, интернет проводной, меблирована частично, Срочно продам 3 ком кв в элитном жк” Триумфальный”. Квартира после ремонта. Квартира улучшенной планировки. Распашонка. 2 санузла. Закрытый двор с детской площадкой…", Кабанбай Батыра 13 — Сарайшык,64400000,Риелтор,триумфальный,монолитный дом,False,2016,3.0,,2,,95.0,3,3.0,8.0,Есильский р-н
"2-комнатная квартира, 75 м², 11/17 этаж","жил. комплекс Бухар Жырау, монолитный дом, 2023 г.п., состояние: хорошее, потолки 3м., санузел раздельный, меблирована полностью, СТИЛЬНАЯ Евротрешка с 2 санузлами С НОВЫМ РЕМОНТОМ И МЕБЕЛЬЮ‼️‼️‼️ Новый дом от компании Мойдом. Светлая Евротрешка на 11 этаже 17 ти этажного дома. ЖК Бухар Жырау О…", Туран — Туран Бухар Жырау,44500000,Хозяин недвижимости,buqar jyray,монолитный дом,False,2023,3.0,,раздельный,хорошее,75.0,2,11.0,17.0,Есильский р-н
"1-комнатная квартира, 41 м², 1/10 этаж","монолитный дом, 2020 г.п., состояние: черновая отделка, потолки 2.9м., Уникальная возможность стать первым обладателем полноценной однокомнатной квартиры площадью 41м2, на первом этаже, можно переделать в эвро-двушку. Документы на руках!", Култегин,14400000,Риелтор,,монолитный дом,False,2020,2.9,,,черновая отделка,41.0,1,1.0,10.0,Есильский р-н
"1-комнатная квартира, 55 м², 9/10 этаж","жил. комплекс Дипломат, монолитный дом, 2006 г.п., состояние: хорошее, потолки 3м., В самом центре левого берега. На площадке всего 3 квартиры. 2лифта :грузавой и пассажирский Ипотека проходит", Сарайшык 34,25000000,Хозяин недвижимости,дипломат,монолитный дом,False,2006,3.0,,,хорошее,55.0,1,9.0,10.0,Есильский р-н
